X;Y;Type
3.81509;36.2195;Green zones
3.88376;36.3917;Green zones
4.02086;36.317728;Green zones
4.09813;36.3088;Green zones
3.5029;36.5988;Green zones
3.4681;36.4523;Green zones
3.87525;36.38039;Red zones
3.792806;36.439277;Green zones
4.07048;36.3118;Green zones
4.26594;36.352;Green zones
3.599512;36.555172;Green zones
3.90109;36.3566;Green zones
4.04489;36.0318;Green zones
3.67089;36.29042;Green zones
3.89775;36.3674;Green zones
4.206608;36.294523;Green zones
3.83929;36.4443;Green zones
3.638142;36.385353;Green zones
3.6985;36.1314;Green zones
3.912742;36.364214;Green zones
4.058378;36.404695;Green zones
3.878918;36.35872;Red zones
3.7595;36.5164;Green zones
3.89481;36.40065;Green zones
3.794666;36.459943;Green zones
3.703772;36.154875;Green zones
3.87082;36.44359;Green zones
3.89358;36.391041;Green zones
3.89047;36.40214;Green zones
3.6616;36.2962;Green zones
3.672825;36.300018;Green zones
3.7025;36.1372;Green zones
3.8119118;36.3412889;Green zones
3.7561;36.4774;Green zones
4.232864;36.282395;Green zones
4.008583;36.306736;Green zones
3.643964;36.549952;Green zones
3.566052;36.568791;Green zones
3.824938;36.371264;Green zones
3.803951;36.419384;Green zones
3.532212;36.579733;Green zones
3.506717;36.582442;Green zones
4.249228;36.260198;Green zones
3.611493;36.554724;Green zones
3.5893;36.2673;Green zones
3.95417;36.41646;Green zones
3.614309;36.561358;Green zones
4.332305;36.336821;Green zones
4.338322;36.369165;Green zones
3.9576;36.3293;Green zones
3.8803163;36.374534;Green zones
4.122899;36.320622;Green zones
3.883108;36.376816;Green zones
3.873348;36.378862;Green zones
3.873448;36.382316;Green zones
3.878081;36.384945;Green zones
3.876581;36.38664;Green zones
4.3813;36.4108;Green zones
4.2505;36.3979;Green zones
3.89586;36.39596;Green zones
3.85077;36.36584;Green zones
4.2519;36.3018;Green zones
4.323794;36.319893;Green zones
4.04028;36.71368;Green zones
4.0546;36.7058;Green zones
3.95257;36.5431;Green zones
4.05315;36.7101;Green zones
4.03732;36.703;Green zones
4.03551;36.6991;Green zones
4.0528;36.70135;Green zones
4.0635;36.7319;Red zones
3.84567;36.5534;Green zones
4.0527;36.702292;Green zones
4.04572;36.7146;Green zones
4.05614;36.7102;Green zones
4.04024;36.7001;Green zones
4.0303;36.7198;Green zones
4.05671;36.716;Green zones
4.02215;36.7194;Green zones
4.13521;36.6923;Red zones
4.38511;36.7597;Green zones
4.10139;36.8279;Green zones
3.96297;36.7317;Green zones
3.97303;36.7326;Green zones
3.9019;36.7442;Green zones
3.83444;36.5347;Green zones
3.90116;36.5433;Green zones
3.95436;36.5419;Green zones
4.00028;36.5985;Green zones
4.15164;36.6613;Green zones
4.21939;36.6247;Green zones
4.20933;36.679;Green zones
4.26991;36.6775;Green zones
4.32143;36.5716;Green zones
3.76967;36.5846;Green zones
4.0961;36.5491;Green zones
4.2128;36.5458;Green zones
4.3277;36.5912;Green zones
4.0415;36.802;Green zones
4.15063;36.8147;Green zones
4.12347;36.8899;Green zones
4.29734;36.8191;Green zones
4.23624;36.8033;Green zones
4.31939;36.7611;Green zones
3.87464;36.6589;Green zones
4.41464;36.8912;Green zones
4.44143;36.7415;Green zones
4.47955;36.6165;Green zones
4.08251;36.6189;Green zones
4.36669;36.54612;Green zones
4.14056;36.7438;Green zones
3.9745;36.67063;Green zones
4.03691;36.7102;Green zones
4.31119;36.7439;Green zones
4.31214;36.5721;Green zones
4.05165;36.7094;Green zones
4.22072;36.6475;Green zones
4.03813;36.6958;Green zones
3.79084;36.6261;Green zones
4.06338;36.5339;Green zones
4.17845;36.7687;Green zones
3.9665;36.5364;Green zones
4.04887;36.7162;Green zones
3.92412;36.702;Green zones
4.00947;36.5933;Green zones
4.01873;36.5083;Green zones
4.34011;36.6409;Red zones
4.20724;36.576;Green zones
4.41938;36.6714;Green zones
4.36994;36.7456;Green zones
4.16935;36.813;Green zones
3.98071;36.7596;Green zones
4.10859;36.6087;Green zones
4.07486;36.6493;Green zones
3.88861;36.5075;Green zones
4.21903;36.8666;Green zones
4.05417;36.7034;Green zones
4.06397;36.7023;Green zones
4.47004;36.6012;Green zones
4.45511;36.6383;Green zones
4.37046;36.5339;Green zones
4.11541;36.5154;Green zones
3.95088;36.5016;Green zones
4.09599;36.7061;Green zones
4.08703;36.6314;Green zones
4.04493;36.6275;Green zones
4.00516;36.5462;Green zones
4.23697;36.5439;Green zones
4.43139;36.5873;Green zones
4.31618;36.6612;Green zones
3.90014;36.7395;Green zones
3.96959;36.7268;Green zones
4.01412;36.7413;Green zones
3.8576;36.6177;Green zones
3.7919;36.6056;Green zones
4.13718;36.8878;Green zones
4.00449;36.5053;Green zones
4.16151;36.6802;Green zones
3.82848;36.5365;Green zones
4.41617;36.6176;Green zones
4.31774;36.7578;Green zones
3.98332;36.58542;Green zones
4.0826;36.5546;Green zones
4.27911;36.6825;Green zones
4.35623;36.7486;Green zones
4.17649;36.8913;Green zones
4.20022;36.6375;Green zones
4.29067;36.9011;Green zones
4.4734;36.8699;Green zones
4.08453;36.53267;Green zones
4.55751;36.882;Green zones
4.18193;36.548;Green zones
4.50231;36.6532;Green zones
4.39202;36.5215;Green zones
4.33801;36.5447;Green zones
4.3796;36.57582;Green zones
4.27532;36.5048;Green zones
4.42169;36.892;Green zones
3.95731;36.7337;Green zones
3.967;36.7385;Green zones
3.95844;36.5379;Green zones
4.05414;36.7222;Green zones
4.25702;36.6921;Green zones
4.36291;36.7452;Green zones
3.78399;36.596;Green zones
4.50385;36.73404;Green zones
4.41033;36.7581;Green zones
4.04215;36.7869;Green zones
4.06015;36.7054;Green zones
4.34318;36.57929;Green zones
4.3389;36.6249;Green zones
3.9147;36.6321;Red zones
4.046;36.7051;Green zones
4.50481;36.5657;Green zones
4.2029;36.4972;Green zones
4.23633;36.7223;Orange zones
4.41639;36.7947;Green zones
4.58898;36.7901;Green zones
4.22157;36.6527;Green zones
4.04048;36.7182;Green zones
4.26802;36.6652;Green zones
4.30387;36.6847;Green zones
4.10319;36.6872;Green zones
4.35911;36.8635;Green zones
3.90485;36.6628;Green zones
4.24678;36.7692;Green zones
4.05848;36.6953;Green zones
4.13835;36.8315;Green zones
3.85123;36.5116;Green zones
4.49909;36.602;Green zones
4.26254;36.5723;Green zones
3.98476;36.6174;Green zones
4.0978;36.8085;Green zones
4.03915;36.6826;Green zones
4.03714;36.7041;Green zones
3.9214;36.5863;Green zones
3.97436;36.5002;Green zones
3.8221;36.5211;Green zones
4.36236;36.6051;Green zones
4.19304;36.7572;Orange zones
4.0336;36.6418;Green zones
4.0787;36.7473;Green zones
4.20682;36.6322;Green zones
4.20574;36.5246;Green zones
4.18529;36.6619;Green zones
4.07346;36.8887;Green zones
4.04953;36.6976;Green zones
4.46791;36.6368;Green zones
4.2007;36.7051;Green zones
4.00606;36.77149;Green zones
4.26476;36.7326;Orange zones
4.33241;36.83376;Green zones
4.37669;36.72;Green zones
4.01947;36.4995;Green zones
3.84056;36.5358;Green zones
3.9596;36.7273;Green zones
3.98933;36.50555;Green zones
4.16604;36.71901;Green zones
4.366441;36.79484;Green zones
4.22272;36.8311;Green zones
4.44913;36.6779;Green zones
4.07218;36.5963;Green zones
3.97445;36.65019;Green zones
4.08054;36.8634;Green zones
4.27005;36.8294;Green zones
3.93015;36.4684;Green zones
4.34122;36.524;Green zones
4.12506;36.70299;Green zones
3.973782;36.627386;Green zones
3.83186;36.58739;Orange zones
